Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_OCCUNIT2,ORG_S_1D,ORG_S_1A,ORG_S_2,ORG_S_3_4,ORG_S_5_9,ORG_S_10_19,ORG_S_20_49,ORG_S_50P,ORG_STRAILER,ORG_SOTHER
"530330033002","530330033002","530330033002, 53033003300, King, Washington","00","53","033","003300","2",,,,613,322,62,161,35,33,0,0,0,0,0
"530330033003","530330033003","530330033003, 53033003300, King, Washington","00","53","033","003300","3",,,,1135,188,138,158,196,255,180,20,0,0,0
"530330033004","530330033004","530330033004, 53033003300, King, Washington","00","53","033","003300","4",,,,743,153,103,23,82,143,198,41,0,0,0
"530330033005","530330033005","530330033005, 53033003300, King, Washington","00","53","033","003300","5",,,,535,308,19,126,10,29,43,0,0,0,0
"530330034001","530330034001","530330034001, 53033003400, King, Washington","00","53","033","003400","1",,,,598,360,38,42,62,96,0,0,0,0,0
"530330034002","530330034002","530330034002, 53033003400, King, Washington","00","53","033","003400","2",,,,609,539,11,7,6,46,0,0,0,0,0
"530330034003","530330034003","530330034003, 53033003400, King, Washington","00","53","033","003400","3",,,,554,266,91,144,47,0,0,0,0,6,0
"530330035001","530330035001","530330035001, 53033003500, King, Washington","00","53","033","003500","1",,,,801,567,0,15,11,22,48,41,97,0,0
"530330035002","530330035002","530330035002, 53033003500, King, Washington","00","53","033","003500","2",,,,780,486,18,132,19,59,38,28,0,0,0
"530330035003","530330035003","530330035003, 53033003500, King, Washington","00","53","033","003500","3",,,,614,264,25,37,24,27,40,51,146,0,0
"530330036001","530330036001","530330036001, 53033003600, King, Washington","00","53","033","003600","1",,,,798,242,45,18,0,44,76,373,0,0,0
"530330036002","530330036002","530330036002, 53033003600, King, Washington","00","53","033","003600","2",,,,964,123,84,82,25,118,115,95,322,0,0
"530330036003","530330036003","530330036003, 53033003600, King, Washington","00","53","033","003600","3",,,,669,467,73,34,23,0,14,58,0,0,0
"530330036004","530330036004","530330036004, 53033003600, King, Washington","00","53","033","003600","4",,,,1366,116,183,34,29,61,186,306,451,0,0
"530330038001","530330038001","530330038001, 53033003800, King, Washington","00","53","033","003800","1",,,,625,435,33,19,24,25,38,22,25,4,0
"530330038002","530330038002","530330038002, 53033003800, King, Washington","00","53","033","003800","2",,,,461,424,0,9,10,13,5,0,0,0,0
"530330039001","530330039001","530330039001, 53033003900, King, Washington","00","53","033","003900","1",,,,833,626,17,0,0,33,45,112,0,0,0
"530330039002","530330039002","530330039002, 53033003900, King, Washington","00","53","033","003900","2",,,,507,476,31,0,0,0,0,0,0,0,0
"530330040001","530330040001","530330040001, 53033004000, King, Washington","00","53","033","004000","1",,,,1101,255,63,0,4,50,78,330,321,0,0
"530330040002","530330040002","530330040002, 53033004000, King, Washington","00","53","033","004000","2",,,,401,401,0,0,0,0,0,0,0,0,0
"530330041001","530330041001","530330041001, 53033004100, King, Washington","00","53","033","004100","1",,,,791,254,56,55,36,126,121,92,51,0,0
"530330041002","530330041002","530330041002, 53033004100, King, Washington","00","53","033","004100","2",,,,758,631,96,0,0,15,16,0,0,0,0
"530330041003","530330041003","530330041003, 53033004100, King, Washington","00","53","033","004100","3",,,,599,599,0,0,0,0,0,0,0,0,0
"530330041004","530330041004","530330041004, 53033004100, King, Washington","00","53","033","004100","4",,,,593,361,58,52,71,0,32,0,19,0,0
"530330041005","530330041005","530330041005, 53033004100, King, Washington","00","53","033","004100","5",,,,483,292,0,0,29,54,26,55,0,27,0
"530330041006","530330041006","530330041006, 53033004100, King, Washington","00","53","033","004100","6",,,,377,377,0,0,0,0,0,0,0,0,0
"530330042001","530330042001","530330042001, 53033004200, King, Washington","00","53","033","004200","1",,,,788,649,49,0,11,60,0,0,19,0,0
"530330042002","530330042002","530330042002, 53033004200, King, Washington","00","53","033","004200","2",,,,767,540,36,0,63,45,0,60,23,0,0
"530330042003","530330042003","530330042003, 53033004200, King, Washington","00","53","033","004200","3",,,,818,543,19,0,13,47,82,19,95,0,0
"530330042004","530330042004","530330042004, 53033004200, King, Washington","00","53","033","004200","4",,,,682,618,0,0,0,26,12,0,18,8,0
"530330042005","530330042005","530330042005, 53033004200, King, Washington","00","53","033","004200","5",,,,680,585,0,20,0,35,40,0,0,0,0
"530330043011","530330043011","530330043011, 53033004301, King, Washington","00","53","033","004301","1",,,,581,103,27,0,15,38,7,90,301,0,0
"530330043012","530330043012","530330043012, 53033004301, King, Washington","00","53","033","004301","2",,,,592,475,33,0,0,84,0,0,0,0,0
"530330043013","530330043013","530330043013, 53033004301, King, Washington","00","53","033","004301","3",,,,585,419,0,18,0,0,5,17,126,0,0
"530330043021","530330043021","530330043021, 53033004302, King, Washington","00","53","033","004302","1",,,,847,87,48,79,169,97,26,145,155,41,0
"530330043022","530330043022","530330043022, 53033004302, King, Washington","00","53","033","004302","2",,,,976,23,10,21,14,207,369,119,204,9,0
"530330044001","530330044001","530330044001, 53033004400, King, Washington","00","53","033","004400","1",,,,563,357,18,55,0,44,89,0,0,0,0
"530330044002","530330044002","530330044002, 53033004400, King, Washington","00","53","033","004400","2",,,,894,409,0,24,64,0,167,128,102,0,0
"530330044003","530330044003","530330044003, 53033004400, King, Washington","00","53","033","004400","3",,,,567,196,93,31,0,51,50,146,0,0,0
"530330044004","530330044004","530330044004, 53033004400, King, Washington","00","53","033","004400","4",,,,1012,151,75,53,87,109,323,214,0,0,0
"530330045001","530330045001","530330045001, 53033004500, King, Washington","00","53","033","004500","1",,,,464,351,9,25,11,0,0,68,0,0,0
"530330045002","530330045002","530330045002, 53033004500, King, Washington","00","53","033","004500","2",,,,750,649,27,63,11,0,0,0,0,0,0
"530330046001","530330046001","530330046001, 53033004600, King, Washington","00","53","033","004600","1",,,,559,404,0,78,59,0,0,0,0,18,0
"530330046002","530330046002","530330046002, 53033004600, King, Washington","00","53","033","004600","2",,,,709,408,29,65,33,41,96,37,0,0,0
"530330046003","530330046003","530330046003, 53033004600, King, Washington","00","53","033","004600","3",,,,410,356,23,23,0,8,0,0,0,0,0
"530330047001","530330047001","530330047001, 53033004700, King, Washington","00","53","033","004700","1",,,,665,367,76,0,65,10,12,135,0,0,0
"530330047002","530330047002","530330047002, 53033004700, King, Washington","00","53","033","004700","2",,,,870,100,60,11,74,269,103,77,176,0,0
"530330047003","530330047003","530330047003, 53033004700, King, Washington","00","53","033","004700","3",,,,1748,120,157,0,0,249,123,356,743,0,0
"530330047004","530330047004","530330047004, 53033004700, King, Washington","00","53","033","004700","4",,,,1545,70,46,14,40,159,128,286,802,0,0
"530330048001","530330048001","530330048001, 53033004800, King, Washington","00","53","033","004800","1",,,,566,377,27,138,24,0,0,0,0,0,0
"530330048002","530330048002","530330048002, 53033004800, King, Washington","00","53","033","004800","2",,,,736,493,47,0,49,108,39,0,0,0,0
"530330048003","530330048003","530330048003, 53033004800, King, Washington","00","53","033","004800","3",,,,685,291,90,91,71,30,29,83,0,0,0
"530330048004","530330048004","530330048004, 53033004800, King, Washington","00","53","033","004800","4",,,,599,330,72,157,40,0,0,0,0,0,0
"530330049001","530330049001","530330049001, 53033004900, King, Washington","00","53","033","004900","1",,,,751,242,15,130,0,148,176,20,20,0,0
"530330049002","530330049002","530330049002, 53033004900, King, Washington","00","53","033","004900","2",,,,782,37,83,67,56,194,37,197,111,0,0
"530330049003","530330049003","530330049003, 53033004900, King, Washington","00","53","033","004900","3",,,,917,194,163,0,70,34,227,229,0,0,0
"530330049004","530330049004","530330049004, 53033004900, King, Washington","00","53","033","004900","4",,,,858,317,38,56,85,253,66,43,0,0,0
"530330049005","530330049005","530330049005, 53033004900, King, Washington","00","53","033","004900","5",,,,944,223,219,18,42,259,93,90,0,0,0
"530330050001","530330050001","530330050001, 53033005000, King, Washington","00","53","033","005000","1",,,,810,294,98,30,36,166,87,99,0,0,0
"530330050002","530330050002","530330050002, 53033005000, King, Washington","00","53","033","005000","2",,,,593,170,10,29,45,0,37,270,32,0,0
"530330050003","530330050003","530330050003, 53033005000, King, Washington","00","53","033","005000","3",,,,891,110,33,73,23,106,80,124,342,0,0
"530330051001","530330051001","530330051001, 53033005100, King, Washington","00","53","033","005100","1",,,,738,332,47,79,95,0,46,123,16,0,0
"530330051002","530330051002","530330051002, 53033005100, King, Washington","00","53","033","005100","2",,,,600,567,0,11,0,22,0,0,0,0,0
"530330051003","530330051003","530330051003, 53033005100, King, Washington","00","53","033","005100","3",,,,587,402,0,29,52,36,0,58,0,10,0
"530330052001","530330052001","530330052001, 53033005200, King, Washington","00","53","033","005200","1",,,,561,55,11,14,26,65,79,301,0,10,0
"530330052002","530330052002","530330052002, 53033005200, King, Washington","00","53","033","005200","2",,,,711,0,8,12,0,42,117,307,209,8,8
"530330052003","530330052003","530330052003, 53033005200, King, Washington","00","53","033","005200","3",,,,574,188,23,123,68,27,69,76,0,0,0
"530330052004","530330052004","530330052004, 53033005200, King, Washington","00","53","033","005200","4",,,,716,516,0,42,0,16,0,61,81,0,0
"530330052005","530330052005","530330052005, 53033005200, King, Washington","00","53","033","005200","5",,,,902,123,0,0,0,0,50,204,525,0,0
"530330053011","530330053011","530330053011, 53033005301, King, Washington","00","53","033","005301","1",,,,530,33,57,96,0,0,79,218,47,0,0
"530330053012","530330053012","530330053012, 53033005301, King, Washington","00","53","033","005301","2",,,,1208,49,0,0,8,28,57,299,767,0,0
"530330053013","530330053013","530330053013, 53033005301, King, Washington","00","53","033","005301","3",,,,928,23,0,0,13,69,143,405,275,0,0
"530330053014","530330053014","530330053014, 53033005301, King, Washington","00","53","033","005301","4",,,,677,0,21,0,0,41,134,374,107,0,0
"530330053021","530330053021","530330053021, 53033005302, King, Washington","00","53","033","005302","1",,,,209,8,0,0,0,0,6,20,175,0,0
"530330053022","530330053022","530330053022, 53033005302, King, Washington","00","53","033","005302","2",,,,14,12,0,0,0,0,0,0,0,0,2
"530330053023","530330053023","530330053023, 53033005302, King, Washington","00","53","033","005302","3",,,,2,0,0,0,0,0,1,1,0,0,0
"530330054001","530330054001","530330054001, 53033005400, King, Washington","00","53","033","005400","1",,,,601,380,56,93,24,16,0,0,32,0,0
"530330054002","530330054002","530330054002, 53033005400, King, Washington","00","53","033","005400","2",,,,924,167,60,103,90,47,50,225,136,0,46
"530330054003","530330054003","530330054003, 53033005400, King, Washington","00","53","033","005400","3",,,,754,189,57,81,62,124,75,117,49,0,0
"530330054004","530330054004","530330054004, 53033005400, King, Washington","00","53","033","005400","4",,,,855,105,64,88,14,185,158,198,43,0,0
"530330056001","530330056001","530330056001, 53033005600, King, Washington","00","53","033","005600","1",,,,627,627,0,0,0,0,0,0,0,0,0
